pos,code,info_length
Verb,V-ADI-3P,5
Verb,V-LAI-3P,5
Verb,V-LAI-3S,5
Verb,V-FAI-1P,5
Verb,V-AMS-3S,5
Verb,V-AMS-3P,5
Verb,V-PMI-3P,5
Verb,V-RAI-2S,5
Verb,V-FNI-3P,5
Verb,V-ADM-3S,5
Verb,V-ADS-3P,5
Verb,V-AAS-1P,5
Verb,V-APM-2P,5
Verb,V-PAS-1S,5
Verb,V-AMI-1S,5
Verb,V-FMI-3S,5
Verb,V-PMI-2P,5
Verb,V-PPI-1S,5
Verb,V-PNI-1P,5
Verb,V-AMI-2S,5
Verb,V-RAI-1P,5
Verb,V-AOI-2P,5
Verb,V-PPI-2P,5
Verb,V-PEI-3P,5
Verb,V-IAI-1P,5
Verb,V-PPM-2P,5
Verb,V-PAM-3P,5
Verb,V-RAI-1S,5
Verb,V-IAI-2S,5
Verb,V-IMI-1S,5
Verb,V-FOI-3P,5
Verb,V-FOI-3S,5
Verb,V-ADS-1S,5
Verb,V-PMM-2P,5
Verb,V-PEM-2P,5
Verb,V-PAS-1P,5
Verb,V-INI-1S,5
Verb,V-API-1P,5
Verb,V-ADI-1S,5
Verb,V-PPS-3S,5
Verb,V-RPM-2S,5
Verb,V-IMI-3S,5
Verb,V-FMI-1S,5
Verb,V-AOS-3S,5
Verb,V-IEI-3S,5
Verb,V-INI-2P,5
Verb,V-IPI-3S,5
Verb,V-ADI-2S,5
Verb,V-PPS-2P,5
Verb,V-ANI-3P,5
Verb,V-AOS-3P,5
Verb,V-API-2S,5
Verb,V-PAO-3S,5
Verb,V-IAI-2P,5
Verb,V-RPI-1S,5
Verb,V-AAO-3P,5
Verb,V-PPM-2S,5
Verb,V-PMI-3S,5
Verb,V-PEM-2S,5
Verb,V-AOI-1S,5
Verb,V-PNS-2P,5
Verb,V-PNS-3P,5
Verb,V-IAI-1S,5
Verb,V-PPI-2S,5
Verb,V-AOS-2P,5
Verb,V-PMM-2S,5
Verb,V-FMI-2P,5
Verb,V-RPI-2S,5
Verb,V-FMI-2S,5
Verb,V-APS-1P,5
Verb,V-APS-1S,5
Verb,V-AAM-3P,5
Verb,V-PMS-3S,5
Verb,V-PNM-3P,5
Verb,V-ADI-1P,5
Verb,V-RNI-1S,5
Verb,V-IDI-3P,5
Verb,V-API-2P,5
Verb,V-PNS-1P,5
Verb,V-FDI-1P,5
Verb,V-PNM-3S,5
Verb,V-RPI-2P,5
Verb,V-RPI-1P,5
Verb,V-LMI-3P,5
Verb,V-AMS-2S,5
Verb,V-PPM-3S,5
Verb,V-AOS-1S,5
Verb,V-PPI-1P,5
Verb,V-FMI-1P,5
Verb,V-RNI-3S,5
Verb,V-PNO-1S,5
Verb,V-INI-2S,5
Verb,V-API-1S,5
Verb,V-AMI-1P,5
Verb,V-RPM-2P,5
Verb,V-ADS-1P,5
Verb,V-INI-1P,5
Verb,V-PAO-3P,5
Verb,V-RMI-2S,5
Verb,V-PNO-3S,5
Verb,V-ADO-1S,5
Verb,V-LDI-3S,5
Verb,V-PNO-3P,5
Verb,V-IPI-1P,5
Verb,V-FPI-1P,5
Verb,V-AOI-1P,5
Verb,V-APM-3P,5
Verb,V-PMM-3S,5
Verb,V-AMS-1P,5
Verb,V-AMM-2P,5
Verb,V-AAO-3S,5
Verb,V-IPI-1S,5
Verb,V-PNS-1S,5
Verb,V-RAS-1P,5
Verb,V-PMS-1S,5
Verb,V-AMM-3S,5
Verb,V-IPI-2P,5
Verb,V-RAS-1S,5
Verb,V-PPS-3P,5
Verb,V-ANI-3S,5
Verb,V-PPS-1S,5
Verb,V-PEI-2P,5
Verb,V-ADS-2S,5
Verb,V-APO-3S,5
Verb,V-PMS-2S,5
Verb,V-PPM-3P,5
Verb,V-RAS-2S,5
Verb,V-AOO-3S,5
Verb,V-AOS-1P,5
Verb,V-PPS-1P,5
Verb,V-FOI-1S,5
Verb,V-ADM-3P,5
Verb,V-PAO-2P,5
Verb,V-RNI-1P,5
Verb,V-PMS-1P,5
Verb,V-PPP-NSM,6
Verb,V-APP-GSF,6
Verb,V-PAP-NSF,6
Verb,V-PAP-NSM,6
Verb,V-AOP-GSM,6
Verb,V-2AMM-2S,6
Verb,V-2API-3S,6
Verb,V-APP-NSN,6
Verb,V-2RAI-3S,6
Verb,V-PAP-GSM,6
Verb,V-PPP-NSN,6
Verb,V-APP-NSM,6
Verb,V-2AAI-3S,6
Verb,V-APP-GSM,6
Verb,V-2ADI-3P,6
Verb,V-PAP-NPM,6
Verb,V-2AAI-1P,6
Verb,V-AAP-NSM,6
Verb,V-2AAI-3P,6
Verb,V-PNP-NSM,6
Verb,V-PEP-GSM,6
Verb,V-AOP-NPM,6
Verb,V-2AAS-2P,6
Verb,V-AAP-NPM,6
Verb,V-2AOI-3P,6
Verb,V-APP-NPM,6
Verb,V-AAP-GPM,6
Verb,V-2AAM-2S,6
Verb,V-2AAS-1S,6
Verb,V-AAP-GSM,6
Verb,V-PPP-ASF,6
Verb,V-PMP-NPM,6
Verb,V-PNP-APM,6
Verb,V-PAP-GSF,6
Verb,V-PAP-NSN,6
Verb,V-AOP-NSM,6
Verb,V-PAP-ASN,6
Verb,V-PNP-ASN,6
Verb,V-2ADS-3P,6
Verb,V-PNP-DSN,6
Verb,V-PNP-DPM,6
Verb,V-PPP-ASM,6
Verb,V-PAP-APM,6
Verb,V-PPP-APM,6
Verb,V-RPP-NPM,6
Verb,V-2AAS-3P,6
Verb,V-PNP-NPM,6
Verb,V-PNP-NSF,6
Verb,V-2AAI-1S,6
Verb,V-2AAS-3S,6
Verb,V-2ADS-3S,6
Verb,V-2APM-2S,6
Verb,V-2AAS-2S,6
Verb,V-2AMS-3S,6
Verb,V-2AAM-3S,6
Verb,V-RPP-ASF,6
Verb,V-PAP-DSM,6
Verb,V-PAP-ASM,6
Verb,V-2APS-2S,6
Verb,V-PAP-DPM,6
Verb,V-PAP-GPM,6
Verb,V-2ADS-2P,6
Verb,V-RAP-NPM,6
Verb,V-2APS-3P,6
Verb,V-2AAM-2P,6
Verb,V-2AMI-3S,6
Verb,V-2AAS-1P,6
Verb,V-2AMS-1P,6
Verb,V-2FPI-3S,6
Verb,V-RPP-NSF,6
Verb,V-2ADI-3S,6
Verb,V-PAP-ASF,6
Verb,V-2AAI-2S,6
Verb,V-PPP-NSF,6
Verb,V-PNP-GPM,6
Verb,V-RPP-ASM,6
Verb,V-PNP-ASM,6
Verb,V-PNP-GSM,6
Verb,V-APP-GSN,6
Verb,V-PAP-NPN,6
Verb,V-ADP-NSM,6
Verb,V-2AAI-2P,6
Verb,V-2APM-3S,6
Verb,V-PPP-NPM,6
Verb,V-RPP-NSN,6
Verb,V-RPP-NPF,6
Verb,V-AAP-ASM,6
Verb,V-PNP-DPN,6
Verb,V-PAP-DPN,6
Verb,V-APP-NSF,6
Verb,V-PPP-ASN,6
Verb,V-RAP-NSM,6
Verb,V-RPP-APN,6
Verb,V-RPP-DSM,6
Verb,V-APP-DSF,6
Verb,V-PPP-GPN,6
Verb,V-AMP-NSM,6
Verb,V-PNP-NSN,6
Verb,V-PNP-NPN,6
Verb,V-2API-1S,6
Verb,V-PAP-GPN,6
Verb,V-PPP-GPM,6
Verb,V-2APS-2P,6
Verb,V-RPP-DPN,6
Verb,V-RPP-NPN,6
Verb,V-AMP-GSM,6
Verb,V-PAP-APN,6
Verb,V-RAP-APM,6
Verb,V-AAP-DPM,6
Verb,V-RPP-NSM,6
Verb,V-2FPI-3P,6
Verb,V-PAP-DSN,6
Verb,V-RPP-APM,6
Verb,V-RPP-DPM,6
Verb,V-RMP-ASM,6
Verb,V-APP-ASN,6
Verb,V-RPP-GPM,6
Verb,V-AAP-DSM,6
Verb,V-PNP-DSM,6
Verb,V-PAP-DPF,6
Verb,V-PAP-NPF,6
Verb,V-2LAI-3S,6
Verb,V-PNP-GPF,6
Verb,V-2LAI-2S,6
Verb,V-RPP-ASN,6
Verb,V-PPP-GSM,6
Verb,V-RPP-GSM,6
Verb,V-RAP-GPM,6
Verb,V-FAP-NSM,6
Verb,V-PNP-NPF,6
Verb,V-PAP-DSF,6
Verb,V-AOP-NPF,6
Verb,V-RMP-NSM,6
Verb,V-AAP-NSN,6
Verb,V-2LAI-3P,6
Verb,V-PPP-APF,6
Verb,V-2RAI-1S,6
Verb,V-2APS-3S,6
Verb,V-RAP-ASM,6
Verb,V-AAP-NSF,6
Verb,V-AAP-ASF,6
Verb,V-AOP-NSF,6
Verb,V-RAP-NSF,6
Verb,V-ADP-GSF,6
Verb,V-AAP-GSF,6
Verb,V-AMP-NPM,6
Verb,V-2AAO-3S,6
Verb,V-PAP-GSN,6
Verb,V-2FPI-2P,6
Verb,V-PNP-APN,6
Verb,V-PMP-NSM,6
Verb,V-PMP-ASM,6
Verb,V-RAP-DPM,6
Verb,V-AAP-NPF,6
Verb,V-ADP-DPM,6
Verb,V-RPP-GPN,6
Verb,V-RAP-DSM,6
Verb,V-2FOI-3P,6
Verb,V-PPP-DSF,6
Verb,V-2ADO-3S,6
Verb,V-2AMI-3P,6
Verb,V-APP-APM,6
Verb,V-RPP-DSF,6
Verb,V-APP-GPN,6
Verb,V-PPP-DPN,6
Verb,V-2API-3P,6
Verb,V-2LAI-2P,6
Verb,V-APP-GPF,6
Verb,V-RAP-APN,6
Verb,V-2AOM-2P,6
Verb,V-2RAI-2P,6
Verb,V-PPP-GSF,6
Verb,V-2AMM-2P,6
Verb,V-PPP-APN,6
Verb,V-APP-ASM,6
Verb,V-2FAI-1S,6
Verb,V-2ADI-1S,6
Verb,V-2RAI-3P,6
Verb,V-2ADI-2P,6
Verb,V-APP-APN,6
Verb,V-2ADI-2S,6
Verb,V-PNP-ASF,6
Verb,V-AAP-APM,6
Verb,V-2FDI-3P,6
Verb,V-PMP-GSM,6
Verb,V-PNP-GPN,6
Verb,V-PMP-GPN,6
Verb,V-2ADM-3S,6
Verb,V-FDP-ASN,6
Verb,V-2AOI-3S,6
Verb,V-APP-GPM,6
Verb,V-RNP-NSM,6
Verb,V-PAP-GPF,6
Verb,V-RAP-GPN,6
Verb,V-RAN-ATT,6
