book,chapter,verse,word_index,matched_word_index,word_order,secondary_word_order,word,unicode,std_poly_form,str_num,lemma,def,root_1,root_2,root_3,str_num_alt_2,str_num_alt_3
JOH,8,7,13,17.0,17,1,LI/QON,λίθον,λίθον,3037.0,λίθος,"(mill-, stumbling-)stone",,,,,
JOH,8,7,14,18.0,18,1,BALE/TW,βαλέτω,βαλέτω,906.0,βάλλω,"arise, cast (out), X dung, lay, lie, pour, put (up), send, strike, throw (down), thrust",,,,,
JOH,8,7,15,,19,1,E)P,ἐπ,ἐπ,1909.0,ἐπί,"about (the times), above, after, against, among, as long as (touching), at, beside, X have charge of, (be-, (where-))fore, in (a place, as much as, the time of, -to), (because) of, (up-)on (behalf of), over, (by, for) the space of, through(-out), (un-)to(-ward), with.",,,,,
JOH,8,7,16,,20,1,AU)TH/N,αὐτήν,αὐτήν,846.0,αὐτός,"her, it(-self), one, the other, (mine) own, said, (self-), the) same, ((him-, my-, thy- )self, (your-)selves, she, that, their(-s), them(-selves), there(-at, - by, -in, -into, -of, -on, -with), they, (these) things, this (man), those, together, very, which",,,,,
JOH,8,8,1,1.0,1,1,*KAI\,Καὶ,καί,2532.0,καί,"and, also, both, but, even, for, if, or, so, that, then, therefore, when, yet",,,,,
JOH,8,8,2,2.0,2,1,PA/LIN,πάλιν,πάλιν,3825.0,πάλιν,again,βάλλω,,,,
JOH,8,8,3,3.0,3,1,KA/TW,κάτω,κάτω,2736.0,κάτω,"beneath, bottom, down, under",κατά,,,,
JOH,8,8,4,4.0,4,1,KU/YAS,κύψας,κύψας,2955.0,κύπτω,stoop (down),κύμα,,,,
JOH,8,8,5,5.0,5,1,E)/GRAFEN,ἔγραφεν,ἔγραφεν,1125.0,γράφω,"describe, write(-ing, -ten)",,,,,
JOH,8,8,6,6.0,6,1,EI)S,εἰς,εἰς,1519.0,εἰς,"(abundant-)ly, against, among, as, at, (back-)ward, before, by, concerning, + continual, + far more exceeding, for (intent, purpose), fore, + forth, in (among, at, unto, -so much that, -to), to the intent that, + of one mind, + never, of, (up-)on, + perish, + set at one again, (so) that, therefore(-unto), throughout, til, to (be, the end, -ward), (here-)until(-to), ...ward, (where-)fore, with",,,,,
JOH,8,8,7,7.0,7,1,TH\N,τὴν,τήν,3588.0,ὁ,"the, this, that, one, he, she, it, etc",,,,,
JOH,8,8,8,8.0,8,1,GH=N,γῆν,γῆν,1093.0,γῆ,"country, earth(-ly), ground, land, world",,,,,
JOH,8,9,1,1.0,1,1,*OI(,Οἱ,οἱ,3588.0,ὁ,"the, this, that, one, he, she, it, etc",,,,,
JOH,8,9,2,2.0,2,1,DE/,δέ,δέ,1161.0,δέ,"also, and, but, moreover, now",,,,,
JOH,8,9,3,3.0,3,1,A)KOU/SANTES,ἀκούσαντες,ἀκούσαντες,191.0,ἀκούω,"give (in the) audience (of), come (to the ears), (shall) hear(-er, -ken), be noised, be reported, understand",,,,,
JOH,8,9,4,10.0,10,1,EI(=S,εἷς,εἷς,1520.0,εἷς,"a(-n, -ny, certain), + abundantly, man, one (another), only, other, some",,,,,
JOH,8,9,5,11.0,11,1,KAQ,καθ,καθ,2596.0,κατά,"about, according as (to), after, against, (when they were) X alone, among, and, X apart, (even, like) as (concerning, pertaining to touching), X aside, at, before, beyond, by, to the charge of, (charita-)bly, concerning, + covered, (dai-)ly, down, every, (+ far more) exceeding, X more excellent, for, from ... to, godly, in(-asmuch, divers, every, -to, respect of), ... by, after the manner of, + by any means, beyond (out of) measure, X mightily, more, X natural, of (up-)on (X part), out (of every), over against, (+ your) X own, + particularly, so, through(-oughout, -oughout every), thus, (un-)to(-gether, -ward), X uttermost, where(-by), with.",,,,,
JOH,8,9,6,12.0,12,1,EI(=S,εἷς,εἷς,1520.0,εἷς,"a(-n, -ny, certain), + abundantly, man, one (another), only, other, some",,,,,
JOH,8,9,7,13.0,13,1,A)RCA/MENOI,ἀρξάμενοι,ἀρξάμενοι,756.0,ἄρχομαι,(rehearse from the) begin(-ning),ἄρχω,,,,
JOH,8,9,8,14.0,14,1,A)PO\,ἀπὸ,ἀπό,575.0,ἀπό,"(X here-)after, ago, at, because of, before, by (the space of), for(-th), from, in, (out) of, off, (up-)on(-ce), since, with",,,,,
JOH,8,9,9,15.0,15,1,TW=N,τῶν,τῶν,3588.0,ὁ,"the, this, that, one, he, she, it, etc",,,,,
JOH,8,9,10,16.0,16,1,PRESBUTE/RWN,πρεσβυτέρων,πρεσβυτέρων,4245.0,πρεσβύτερος,"elder(-est), old",,,,,
JOH,8,9,11,,16,2,E(/WS,ἕως,ἕως,2193.0,ἕως,"even (until, unto), (as) far (as), how long, (un-)til(-l), (hither-, un-, up) to, while(-s)",,,,,
JOH,8,9,12,,16,3,TW=N,τῶν,τῶν,3588.0,ὁ,"the, this, that, one, he, she, it, etc",,,,,
JOH,8,9,13,,16,4,E)SXA/TWN,ἐσχάτων,ἐσχάτων,2078.0,ἔσχατος,"ends of, last, latter end, lowest, uttermost",ἔχω,,,,
JOH,8,9,14,17.0,17,1,KAI\,καὶ,καί,2532.0,καί,"and, also, both, but, even, for, if, or, so, that, then, therefore, when, yet",,,,,
JOH,8,9,15,18.0,18,1,KATELEI/FQH,κατελείφθη,κατελείφθη,2641.0,καταλείπω,"forsake, leave, reserve",κατά,λείπω,,,
JOH,8,9,16,22.0,22,1,KAI\,καὶ,καί,2532.0,καί,"and, also, both, but, even, for, if, or, so, that, then, therefore, when, yet",,,,,
JOH,8,9,17,23.0,23,1,H(,ἡ,ἡ,3588.0,ὁ,"the, this, that, one, he, she, it, etc",,,,,
JOH,8,9,18,24.0,24,1,GUNH\,γυνὴ,γυνή,1135.0,γυνή,"wife, woman",γίνομαι,,,,
