id,word,count,str_num,rp_code,rp_pos,rp_gender,rp_number,rp_word_case,rp_tense,rp_type,rp_voice,rp_mood,rp_person,rp_indeclinable,rp_description,rp_kai_incrasis,rp_extra
579,απαγγειλατε,5,518,V-AAM-2P,Verb,,Plural,,Aorist,,Active,Imperative,Second person,,,,
580,μοι,235,1473,P-1DS,Personal Pronoun,,Singular,Dative,,,,,First person,,,,
581,οπως,57,3704,ADV,Adverb,,,,,,,,,,,,
582,καγω,66,2504,P-1NS-K,Personal Pronoun,,Singular,Nominative,,,,,First person,,,,
583,ελθων,49,2064,V-2AAP-NSM,Verb,Masculine,Singular,Nominative,Second Aorist,,Active,Participle,,,,,
584,προσκυνησω,1,4352,V-AAS-1S,Verb,,Singular,,Aorist,,Active,Subjunctive,First person,,,,
588,ακουσαντες,50,191,V-AAP-NPM,Verb,Masculine,Plural,Nominative,Aorist,,Active,Participle,,,,,
591,επορευθησαν,4,4198,V-AOI-3P,Verb,,Plural,,Aorist,,passive Deponent,Indicative,Third person,,,,
595,αστηρ,4,792,N-NSM,Noun,Masculine,Singular,Nominative,,,,,,,,,
596,ον,166,3739,R-ASM,Relative Pronoun,Masculine,Singular,Accusative,,,,,,,,,
597,ειδον,76,3708,V-2AAI-3P,Verb,,Plural,,Second Aorist,,Active,Indicative,Third person,,,,
601,προηγεν,1,4254,V-IAI-3S,Verb,,Singular,,Imperfect,,Active,Indicative,Third person,,,,
605,εστη,11,2476,V-2AAI-3S,Verb,,Singular,,Second Aorist,,Active,Indicative,Third person,,,,
606,επανω,20,1883,ADV,Adverb,,,,,,,,,,,,
610,παιδιον,25,3813,N-NSN,Noun,Neuter,Singular,Nominative,,,,,,,,,
611,ιδοντες,40,3708,V-2AAP-NPM,Verb,Masculine,Plural,Nominative,Second Aorist,,Active,Participle,,,,,
615,εχαρησαν,5,5463,V-2AOI-3P,Verb,,Plural,,Second Aorist,,passive Deponent,Indicative,Third person,,,,
616,χαραν,13,5479,N-ASF,Noun,Feminine,Singular,Accusative,,,,,,,,,
617,μεγαλην,20,3173,A-ASF,Adjective,Feminine,Singular,Accusative,,,,,,,,,
618,σφοδρα,11,4970,ADV,Adverb,,,,,,,,,,,,
620,ελθοντες,20,2064,V-2AAP-NPM,Verb,Masculine,Plural,Nominative,Second Aorist,,Active,Participle,,,,,
623,οικιαν,40,3614,N-ASF,Noun,Feminine,Singular,Accusative,,,,,,,,,
633,πεσοντες,1,4098,V-2AAP-NPM,Verb,Masculine,Plural,Nominative,Second Aorist,,Active,Participle,,,,,
634,προσεκυνησαν,12,4352,V-AAI-3P,Verb,,Plural,,Aorist,,Active,Indicative,Third person,,,,
637,ανοιξαντες,3,455,V-AAP-NPM,Verb,Masculine,Plural,Nominative,Aorist,,Active,Participle,,,,,
639,θησαυρους,3,2344,N-APM,Noun,Masculine,Plural,Accusative,,,,,,,,,
641,προσηνεγκαν,7,4374,V-AAI-3P,Verb,,Plural,,Aorist,,Active,Indicative,Third person,,,,
643,δωρα,8,1435,N-APN,Noun,Neuter,Plural,Accusative,,,,,,,,,
644,χρυσον,4,5557,N-ASM,Noun,Masculine,Singular,Accusative,,,,,,,,,
646,λιβανον,2,3030,N-ASM,Noun,Masculine,Singular,Accusative,,,,,,,,,
648,σμυρναν,2,4666,N-ASF,Noun,Feminine,Singular,Accusative,,,,,,,,,
650,χρηματισθεντες,1,5537,V-APP-NPM,Verb,Masculine,Plural,Nominative,Aorist,,Passive,Participle,,,,,
654,ανακαμψαι,2,344,V-AAN,Verb,,,,Aorist,,Active,Infinitive,,,,,
655,προς,706,4314,PREP,Preposition,,,,,,,,,,,,
656,ηρωδην,2,2264,N-ASM,Noun,Masculine,Singular,Accusative,,,,,,,,,
657,δι,143,1223,PREP,Preposition,,,,,,,,,,,,
658,αλλης,3,243,A-GSF,Adjective,Feminine,Singular,Genitive,,,,,,,,,
659,οδου,8,3598,N-GSF,Noun,Feminine,Singular,Genitive,,,,,,,,,
