id,parsed_id,word,simplified_word,unicode,count
22376,22376,EI)SELQOU/SHS,eiselqoushs,εἰσελθούσης,1
22378,22378,QUGATRO\S,qugatros,θυγατρὸς,3
22383,22383,O)RXHSAME/NHS,orxhsamenhs,ὀρχησαμένης,1
22385,22385,A)RESA/SHS,aresashs,ἀρεσάσης,1
22390,22390,SUNANAKEIME/NOIS,sunanakeimenois,συνανακειμένοις,1
22396,22396,*AI)/THSO/N,aithson,Αἴτησόν,1
22405,22405,W)/MOSEN,wmosen,ὤμοσεν,7
22411,22411,AI)TH/SH|S,aithshs,αἰτήσῃς,1
22415,22415,H(MI/SOUS,hmisous,ἡμίσους,1
22427,22427,AI)TH/SOMAI,aithsomai,αἰτήσομαι,1
22431,177,*TH\N,thn,Τὴν,11
22437,22437,EI)SELQOU=SA,eiselqousa,εἰσελθοῦσα,1
22440,22440,SPOUDH=S,spoudhs,σπουδῆς,3
22449,22449,DW=|S,dws,δῷς,1
22450,22450,E)CAUTH=S,ecauths,ἐξαυτῆς,5
22459,16700,PERI/LUPOS,perilupos,περίλυπος,2
22460,22460,GENO/MENOS,genomenos,γενόμενος,25
22472,22472,A)QETH=SAI,aqethsai,ἀθετῆσαι,1
22478,22478,SPEKOULA/TORA,spekoulatora,σπεκουλάτορα,1
22479,22479,E)PE/TACEN,epetacen,ἐπέταξεν,3
22480,22480,E)NEXQH=NAI,enexqhnai,ἐνεχθῆναι,1
22524,22524,E)/QHKAN,eqhkan,ἔθηκαν,7
22529,22529,SUNA/GONTAI,sunagontai,συνάγονται,2
22531,22531,A)PO/STOLOI,apostoloi,ἀπόστολοι,16
22544,22544,E)DI/DACAN,edidacan,ἐδίδαξαν,1
22562,22562,E)RXO/MENOI,erxomenoi,ἐρχόμενοι,4
22565,22565,U(PA/GONTES,upagontes,ὑπάγοντες,1
22570,22570,EU)KAI/ROUN,eukairoun,εὐκαίρουν,2
22583,22583,U(PA/GONTAS,upagontas,ὑπάγοντας,1
22591,22591,PASW=N,paswn,πασῶν,5
22594,22594,SUNE/DRAMON,sunedramon,συνέδραμον,1
22597,22597,PROH=LQON,prohlqon,προῆλθον,2
22600,22600,SUNH=LQON,sunhlqon,συνῆλθον,3
22645,22645,POLLH/,pollh,πολλή,2
22653,11670,A)GROU\S,agrous,ἀγροὺς,3
22676,4281,*)APELQO/NTES,apelqontes,Ἀπελθόντες,3
22677,22677,A)GORA/SWMEN,agoraswmen,ἀγοράσωμεν,2
22678,22678,DHNARI/WN,dhnariwn,δηναρίων,4
22679,22679,DIAKOSI/WN,diakosiwn,διακοσίων,2
22682,22682,DW=MEN,dwmen,δῶμεν,6
22696,22696,GNO/NTES,gnontes,γνόντες,5
22705,22705,A)NAKLI=NAI,anaklinai,ἀνακλῖναι,1
22707,22707,SUMPO/SIA,sumposia,συμπόσια,2
22711,22711,XLWRW=|,xlwrw,χλωρῷ,1
22712,22712,XO/RTW|,xortw,χόρτῳ,1
22714,22714,A)NE/PESON,anepeson,ἀνέπεσον,1
22715,22715,PRASIAI\,prasiai,πρασιαὶ,1
22716,22715,PRASIAI/,prasiai,πρασιαί,1
22721,22721,PENTH/KONTA,penthkonta,πεντήκοντα,6
22737,22737,KATE/KLASEN,kateklasen,κατέκλασεν,2
22746,22746,PARAQW=SIN,paraqwsin,παραθῶσιν,2
22752,22752,E)ME/RISEN,emerisen,ἐμέρισεν,5
22768,22768,I)XQU/WN,ixquwn,ἰχθύων,7
22772,22772,FAGO/NTES,fagontes,φαγόντες,3
22793,22793,*BHQSAI+DA/N,bhqsaidan,Βηθσαϊδάν,3
22800,22800,A)POTACA/MENOS,apotacamenos,ἀποταξάμενος,3
22826,22826,BASANIZOME/NOUS,basanizomenous,βασανιζομένους,1
22829,22829,E)LAU/NEIN,elaunein,ἐλαύνειν,1
22838,22838,TETA/RTHN,tetarthn,τετάρτην,2
22861,22861,E)/DOCAN,edocan,ἔδοξαν,2
22862,8618,FA/NTASMA,fantasma,φάντασμα,1
22865,22865,A)NE/KRACAN,anekracan,ἀνέκραξαν,1
22898,22898,E)KPERISSOU=,ekperissou,ἐκπερισσοῦ,5
22909,22909,A)/RTOIS,artois,ἄρτοις,1
22915,22915,PEPWRWME/NH,pepwrwmenh,πεπωρωμένη,1
22924,22924,PROSWRMI/SQHSAN,proswrmisqhsan,προσωρμίσθησαν,1
22926,22926,E)CELQO/NTWN,ecelqontwn,ἐξελθόντων,2
22934,22934,PERIDRAMO/NTES,peridramontes,περιδραμόντες,1
22942,22942,KRABBA/TOIS,krabbatois,κραββάτοις,1
22946,22946,PERIFE/REIN,periferein,περιφέρειν,1
22948,22948,H)/KOUON,hkouon,ἤκουον,4
22955,22955,EI)SEPOREU/ETO,eiseporeueto,εἰσεπορεύετο,1
22965,22965,E)TI/QOUN,etiqoun,ἐτίθουν,3
22967,5084,A)SQENOU=NTAS,asqenountas,ἀσθενοῦντας,4
22982,22982,H(/PTONTO,hptonto,ἥπτοντο,1
22984,22984,E)SW/|ZONTO,eswzonto,ἐσῴζοντο,1
23000,23000,TINA\S,tinas,τινὰς,8
23004,23004,KOINAI=S,koinais,κοιναῖς,1
23005,9056,XERSI/N,xersin,χερσίν,4
23006,18070,TOU=T,tout,τοῦτ,15
23009,23009,E)SQI/ONTAS,esqiontas,ἐσθίοντας,1
23011,23011,E)ME/MYANTO,ememyanto,ἐμέμψαντο,1
23018,23018,*)IOUDAI=OI,ioudaioi,Ἰουδαῖοι,55
23021,23021,PUGMH=|,pugmh,πυγμῇ,1
23022,23022,NI/YWNTAI,niywntai,νίψωνται,1
23026,23026,E)SQI/OUSIN,esqiousin,ἐσθίουσιν,6
23027,23027,KRATOU=NTES,kratountes,κρατοῦντες,1
23034,23034,A)GORA=S,agoras,ἀγορᾶς,1
23037,23037,BAPTI/SWNTAI,baptiswntai,βαπτίσωνται,1
23045,23045,PARE/LABON,parelabon,παρέλαβον,6
23046,23046,KRATEI=N,kratein,κρατεῖν,1
23047,23047,BAPTISMOU\S,baptismous,βαπτισμοὺς,2
23048,23048,POTHRI/WN,pothriwn,ποτηρίων,2
23050,23050,CESTW=N,cestwn,ξεστῶν,2
23052,23052,XALKI/WN,xalkiwn,χαλκίων,1
23054,23054,KLINW=N,klinwn,κλινῶν,2
